CATEGORY	FIRST_OF_PAIR	SECOND_OF_PAIR	PAIR	UNPAIRED	READ_LENGTH	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108
TOTAL_READS	1921754	1921735	3843489	132754	PAIRED_TOTAL_LENGTH_COUNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2065516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1777973
PF_READS	1921754	1921735	3843489	132754	PAIRED_ALIGNED_LENGTH_COUNT	1731	1721	1555	1430	1371	1364	1275	1398	1404	1372	1099	1170	1138	1331	1303	29440	4342	1902	2085	2597	3555	5014	1994	2272	2952	4077	5737	2281	2652	3423	4875	7191	2604	3013	3983	5815	8729	2759	3556	4832	7194	11104	3400	4088	5271	8001	12654	3457	4536	6325	10072	16209	4228	5361	7903	12316	20572	5073	6735	9664	16676	27394	6545	8983	13535	22399	34307	6527	9849	16961	1691377	4365	1470	1904	2570	3776	5689	1795	2285	3439	5289	8195	2455	3268	5163	8063	11173	3957	1607575
PCT_PF_READS	1	1	1	1	UNPAIRED_TOTAL_LENGTH_COUNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71958
PF_NOISE_READS	0	0	0	0	UNPAIRED_ALIGNED_LENGTH_COUNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4649	488	147	179	220	338	912	186	240	304	462	979	339	383	413	620	1288	323	442	502	965	1219	368	477	668	1068	1978	517	621	834	1388	4352	652	823	1092	1799	3301	591	766	1067	1616	2882	556	721	962	1645	3012	585	693	975	1556	2791	348	526	672	28175	1420	250	346	452	714	1713	201	269	338	522	855	176	212	314	463	563	201	38070
PF_READS_ALIGNED	1921754	1921735	3843489	132754
PCT_PF_READS_ALIGNED	1	1	1	1
PF_ALIGNED_BASES	144448806	143413524	287862330	8991984
PF_HQ_ALIGNED_READS	1831063	1830722	3661785	120041
PF_HQ_ALIGNED_BASES	138145189	137181183	275326372	8231902
PF_HQ_ALIGNED_Q20_BASES	138145189	137181183	275326372	8231902
PF_HQ_MEDIAN_MISMATCHES	68	68	68	59
PF_MISMATCH_RATE	0.765808	0.765692	0.76575	0.76689
PF_HQ_ERROR_RATE	0.764706	0.764579	0.764643	0.765641
PF_INDEL_RATE	0.000261	0.000279	0.00027	0.004449
MEAN_READ_LENGTH	98.326946	98.32642	98.326683	99.756723
SD_READ_LENGTH	8.9748	8.974761	8.974779	8.968165
MEDIAN_READ_LENGTH	90	90	90	108
MAD_READ_LENGTH	0	0	0	0
MIN_READ_LENGTH	90	90	90	90
MAX_READ_LENGTH	108	108	108	108
MEAN_ALIGNED_READ_LENGTH	95.252545	94.556474	94.904511	85.046582
READS_ALIGNED_IN_PAIRS	1921754	1921735	3843489	0
PCT_READS_ALIGNED_IN_PAIRS	1	1	1	0
PF_READS_IMPROPER_PAIRS	3607	3588	7195	0
PCT_PF_READS_IMPROPER_PAIRS	0.001877	0.001867	0.001872	0
BAD_CYCLES	0	0	0	0
STRAND_BALANCE	0.559141	0.440807	0.499974	0.506561
PCT_CHIMERAS	0.058635	0.058339	0.058487	0
PCT_ADAPTER	0	0	0	0
PCT_SOFTCLIP	0.031267	0.038341	0.034804	0.14746
PCT_HARDCLIP	0	0	0	0
AVG_POS_3PRIME_SOFTCLIP_LENGTH	22.080612	25.19065	23.683476	29.113258
SAMPLE
LIBRARY
READ_GROUP
