CATEGORY	FIRST_OF_PAIR	SECOND_OF_PAIR	PAIR	UNPAIRED	READ_LENGTH	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108
TOTAL_READS	1069898	1070153	2140051	75304	PAIRED_TOTAL_LENGTH_COUNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1168494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	971557
PF_READS	1069898	1070153	2140051	75304	PAIRED_ALIGNED_LENGTH_COUNT	915	861	781	707	691	673	581	735	719	683	590	541	541	661	641	14268	2100	910	1057	1331	1633	2303	1003	1048	1403	1853	2759	1071	1267	1511	2263	3291	1189	1410	1818	2689	3784	1357	1580	2135	3226	4861	1516	1911	2392	3545	5544	1546	2099	2806	4508	7130	1867	2451	3605	5504	9148	2344	2969	4437	7642	12798	2931	4264	6244	10567	16602	3175	4991	8522	994919	1850	524	746	1090	1555	2392	728	1028	1354	2176	3472	1017	1458	2137	3617	4902	1792	894796
PCT_PF_READS	1	1	1	1	UNPAIRED_TOTAL_LENGTH_COUNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40538
PF_NOISE_READS	0	0	0	0	UNPAIRED_ALIGNED_LENGTH_COUNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2659	288	76	78	95	209	493	114	153	174	217	552	163	221	189	315	697	183	244	277	473	592	187	259	337	543	1042	251	338	431	656	2260	386	446	558	885	1783	342	414	543	856	1478	285	374	499	839	1544	279	347	459	724	1513	215	251	332	17793	737	115	155	219	374	937	125	112	201	280	462	86	129	189	249	246	104	22673
PF_READS_ALIGNED	1069898	1070153	2140051	75304
PCT_PF_READS_ALIGNED	1	1	1	1
PF_ALIGNED_BASES	90393097	89809615	180202712	5666603
PF_HQ_ALIGNED_READS	987619	987523	1975142	65819
PF_HQ_ALIGNED_BASES	83042323	82489222	165531545	4998539
PF_HQ_ALIGNED_Q20_BASES	83042323	82489222	165531545	4998539
PF_HQ_MEDIAN_MISMATCHES	68	68	68	61
PF_MISMATCH_RATE	0.747196	0.747161	0.747178	0.748173
PF_HQ_ERROR_RATE	0.747024	0.747003	0.747013	0.74803
PF_INDEL_RATE	0.000238	0.000256	0.000247	0.004109
MEAN_READ_LENGTH	98.171568	98.171992	98.17178	99.689844
SD_READ_LENGTH	8.961795	8.961835	8.961813	8.973583
MEDIAN_READ_LENGTH	90	90	90	108
MAD_READ_LENGTH	0	0	0	0
MIN_READ_LENGTH	90	90	90	90
MAX_READ_LENGTH	108	108	108	108
MEAN_ALIGNED_READ_LENGTH	95.623611	94.997378	95.310457	85.914028
READS_ALIGNED_IN_PAIRS	1069898	1070153	2140051	0
PCT_READS_ALIGNED_IN_PAIRS	1	1	1	0
PF_READS_IMPROPER_PAIRS	3179	3434	6613	0
PCT_PF_READS_IMPROPER_PAIRS	0.002971	0.003209	0.00309	0
BAD_CYCLES	0	0	0	0
STRAND_BALANCE	0.562166	0.437884	0.500018	0.510491
PCT_CHIMERAS	0.061796	0.061019	0.061407	0
PCT_ADAPTER	0	0	0	0
PCT_SOFTCLIP	0.025954	0.032337	0.029146	0.138187
PCT_HARDCLIP	0	0	0	0
AVG_POS_3PRIME_SOFTCLIP_LENGTH	22.165319	25.5921	23.932725	29.54132
SAMPLE
LIBRARY
READ_GROUP
